neighbourhood,neighbourhood_oe
Pioneer Square,1325
Santo Antnio,1326
Killarney,1327
Mira Mesa,1328
South Ozone Park,1329
Monopoli,1330
Geylang,1331
Unincorporated ACT,1332
Delicias,1333
Nob Hill,1334
萬華區,1335
North Shore Kauai,1336
Retiro,1337
Moreland,1338
District 14,1339
Arcos,1340
Joondalup ,1341
Mahón,1342
Sendling-Westpark,1343
District 18,1344
BICOCCA,1345
Presidio Heights,1346
Newton,1347
Calvià,1348
Neubau,1349
Diso,1350
an Roque,1351
Belize Islands,1352
Ugento,1353
Ta' Xbiex,1354
SANT FRANCESC,1355
CITTA' STUDI,1356
Anderlecht,1357
la Barceloneta,1358
Vitacura,1359
Fuorigrotta,1360
Albany ,1361
Alliste,1362
Bordeaux Maritime,1363
Washington Heights,1364
Hässelby-Vällingby,1365
Άνδρου (Andros),1366
"Capitol Hill, Lincoln Park",1367
Washington Park,1368
Escorca,1369
Hawthorne,1370
Palmariggi,1371
De Aker - Nieuw Sloten,1372
Valdeacederas,1373
"Georgetown, Burleith/Hillandale",1374
78727,1375
Urca,1376
Καντάνου - Σέλινου,1377
Queensferry East,1378
Lincoln Highlands,1379
Santa Cruz,1380
Arcozelo,1381
Ustica,1382
Gore Ward,1383
Pueblo Nuevo,1384
Central,1385
Sant Feliu de Guíxols,1386
Del Rey,1387
Hyde Park,1388
Côte-Saint-Luc,1389
Carpenedo,1390
Cahir LEA-4,1391
Piedimonte Etneo,1392
Highland,1393
Whangarei Heads Ward,1394
Edogawa Ku,1395
York University Heights,1396
Santa Flavia,1397
Pachino,1398
West Lawn,1399
Numancia,1400
Villa Pueyrredon,1401
Diamond Heights,1402
Mariners Harbor,1403
Berruguete,1404
Obergiesing,1405
Ku-Ring-Gai,1406
East Flatbush,1407
West Olentangy,1408
Naro,1409
Racale,1410
City Centre,1411
San Vito dei Normanni,1412
Inner Sunset,1413
Tribeca,1414
West End,1415
Nervión,1416
UMBRIA - MOLISE,1417
Greater Dandenong,1418
Northridge,1419
Vilar,1420
Monreale,1421
LISMORE CITY COUNCIL,1422
Patti,1423
Stonnington ,1424
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",1425
"Capitol View, Marshall Heights, Benning Heights",1426
Goose Hollow,1427
Near South Side,1428
Kuartango,1429
Pukaki Ward,1430
Stann Creek Mainland,1431
Aci Castello,1432
Alcamo,1433
Jamaica,1434
78721,1435
Sant'Alfio,1436
South East Inner City LEA-5,1437
Caballito,1438
Curicica,1439
Ward 83,1440
Valdezarza,1441
Pasing-Obermenzing,1442
Wallingford,1443
Tulane - Gravier,1444
Hoover-Foster,1445
Cap de Bos,1446
Solarino,1447
Little Portugal,1448
78758,1449
Mercury Bay Ward,1450
Rathaus,1451
78736,1452
Ward 84,1453
Ward 113,1454
Darebin,1455
North,1456
Canada Bay ,1457
北投區,1458
Koolauloa,1459
East Honolulu,1460
City of Watsonville,1461
Ambars-et-Lagrave,1462
4e Arrondissement,1463
Bayview,1464
San Giuseppe,1465
Ward 71,1466
Daly City,1467
Prenzlauer Berg Süd,1468
Terrasini,1469
Ratchathewi,1470
Sawtelle,1471
Hepburn ,1472
Din Daeng,1473
Bedok,1474
Arões,1475
Colwood,1476
Estrella,1477
Coffs Harbour ,1478
Γόρτυνας,1479
Olivais,1480
Dufferin Grove,1481
Banyalbufar,1482
28704,1483
Favara,1484
Devonport,1485
Mattinata,1486
ΑΜΠΕΛΟΚΗΠΟΙ,1487
Salt Spring Island,1488
GARIBALDI REPUBBLICA,1489
Bagcilar,1490
Glassell Park,1491
Iztacalco,1492
Ward 15,1493
Hägersten-Liljeholmens,1494
Αγίου Βασιλείου,1495
Savigny,1496
Τήνου (Tinos),1497
Torrenova,1498
Oud-Noord,1499
Brunnenstr. Nord,1500
Andrano,1501
West Coast,1502
Sunset Park,1503
Salford District,1504
Glendora,1505
Ribera,1506
Kingborough,1507
MAGENTA - S. VITTORE,1508
Esenyurt,1509
Port Macquarie-Hastings ,1510
Menlo Park,1511
VIGENTINA,1512
Moosach,1513
Castione della Presolana,1514
District 26,1515
Midleton LEA-7,1516
Lordelo do Ouro e Massarelos,1517
Castellammare del Golfo,1518
Sunset,1519
Bang Sue,1520
Pacific Palisades,1521
BAYSWATER,1522
Pedara,1523
Malvern,1524
El Pardo,1525
28805,1526
Choa Chu Kang,1527
Bouliac,1528
Trabia,1529
Tujunga,1530
Elisabethbegijnhof - Papegaai,1531
Martina Franca,1532
Withington,1533
Washington Virginia Vale,1534
District 8,1535
Borgo Panigale - Reno,1536
Rosslare LEA-5,1537
Ambroz,1538
Ward 62,1539
Gaggi,1540
Cayo,1541
Le Bourg,1542
Puigpunyent,1543
Flinders,1544
Kentish,1545
Egger Highlands,1546
Clarence,1547
Kallang,1548
Birzebbugia,1549
Glória,1550
Kingston ,1551
Altamura,1552
Maruggio,1553
Rodi Garganico,1554
Cortez Hill,1555
Reitano,1556
Sunshine Coast ,1557
Derwent Valley,1558
Newtonbrook East,1559
Χάλκης (Halki),1560
Acquarica del Capo,1561
Molenbeek-Saint-Jean,1562
Broadway,1563
Vaulion,1564
La Bastide,1565
Prenzlauer Berg Nordwest,1566
MESTALLA,1567
Guaratiba,1568
Ward 70,1569
Aigle,1570
Custonaci,1571
Bukit Merah,1572
Santo Isidoro,1573
Whittier,1574
Mission Valley,1575
Caldes de Malavella,1576
Chom Thong,1577
Willoughby ,1578
Hilltop,1579
Bolton District,1580
Cabra-Glasnevin LEA-7,1581
Terlizzi,1582
Montuïri,1583
The Hills Shire,1584
Russian Hill,1585
Μήλου (Milos),1586
Geuzenveld - Slotermeer,1587
Dorset Park,1588
Margate,1589
Ortelle,1590
Catalca,1591
Milo,1592
Parkhead and Sighthill,1593
Cinisi,1594
Raglan Ward,1595
South Kona,1596
Prescott,1597
Palafrugell,1598
Near South,1599
ARRANCAPINS,1600
Warringah ,1601
Meadowbank and Abbeyhill North,1602
Lower Queen Anne,1603
Golden Gate,1604
Sant'Agata di Militello,1605
BENIMAMET,1606
Huon Valley ,1607
Favignana,1608
East New York,1609
Albany Ward,1610
Belmullet-LEA-3,1611
Prosperidad,1612
Muro,1613
Parkside,1614
Mount Baker,1615
Yonge-St.Clair,1616
Harris Green,1617
Halensee,1618
Alameda,1619
North Lauderdale,1620
Banyule ,1621
Blanes,1622
Oakwood Village,1623
Carmel Mountain,1624
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",1625
Palomeras Bajas,1626
Gioia del Colle,1627
Capmany,1628
Balerno and Bonnington Village,1629
Macul,1630
Cornellà del Terri,1631
Woodbine Corridor,1632
ΒΟΤΑΝΙΚΟΣ,1633
Corona,1634
Aidone,1635
Trinity-Bellwoods,1636
Thistletown-Beaumond Heights,1637
Topanga,1638
Figueres,1639
Sants,1640
Lesina,1641
Kitchissippi,1642
Cadaval e Pro Moniz,1643
Bahcelievler,1644
Schaerbeek,1645
ΖΑΠΠΕΙΟ,1646
3M-Bourgailh,1647
Lampedusa e Linosa,1648
Melres e Medas,1649
Mid Murray ,1650
Moscardó,1651
Huerta de Santa Teresa,1652
Praha 13,1653
South West Inner City LEA-5,1654
Frankfurter Allee Süd,1655
East Cambridge,1656
Μυλοποτάμου,1657
Central Highlands,1658
Wedding Zentrum,1659
Freguesia (Jacarepaguá),1660
Au-Haidhausen,1661
Altstadt-Lehel,1662
San Gabriel,1663
Kensington,1664
Normal Heights,1665
Bruntsfield,1666
Isola delle Femmine,1667
Hostafrancs,1668
Knox,1669
Schöneberg-Nord,1670
San Bartolomé,1671
Südliche Friedrichstadt,1672
Fairfax,1673
Ullern,1674
Zehlendorf  Nord,1675
Bayou St. John,1676
Grand Boulevard,1677
"Douglas, Shipley Terrace",1678
"Cathedral Heights, McLean Gardens, Glover Park",1679
Ward 112,1680
文山區,1681
Corigliano d'Otranto,1682
Lincoln Park,1683
Guindalera,1684
Mosman,1685
Wilmington,1686
平谷区 / Pinggu,1687
Mount Pleasant East,1688
Laim,1689
Esenler,1690
PATRAIX,1691
"North Cleveland Park, Forest Hills, Van Ness",1692
Shoalhaven ,1693
La Florida,1694
Seefeld,1695
Stadspark,1696
Zehlendorf  Südwest,1697
Santa Cristina d'Aro,1698
Saponara,1699
Pals,1700
Chavannes-près-Renens,1701
Zarautz,1702
Plänterwald,1703
Osdorp,1704
Coghlan,1705
Edenwald,1706
Wychwood,1707
COCKBURN,1708
Te Papa-Welcome Bay Ward,1709
Greater Grand Crossing,1710
Praha 22,1711
Milbertshofen-Am Hart,1712
District 12,1713
La Granja,1714
Chavannes-sur-Moudon,1715
Ciudad Universitaria,1716
78756,1717
Brighton Beach,1718
Dunbar Southlands,1719
Lido,1720
Westmount,1721
St. Croix,1722
Moudon,1723
PORTELLO,1724
Castro,1725
Begur,1726
District 7,1727
Uptown,1728
Flatiron District,1729
Ses Salines,1730
Clontarf LEA-6,1731
San Giovanni Rotondo,1732
Sai Kung,1733
"Póvoa de Varzim, Beiriz e Argivai",1734
Southville,1735
Colegiales,1736
El Sereno,1737
FARINI,1738
East Elmhurst,1739
Αστυπαλαίας (Astypalea),1740
Puerta del Angel,1741
Pike-Market,1742
78735,1743
Triana Casco Antiguo,1744
Santa Fe,1745
East End-Danforth,1746
Dusit,1747
Kanata North,1748
BAGGIO,1749
Parthum Wan,1750
Near East,1751
Encino,1752
Woburn,1753
Sineu,1754
Kenwood,1755
Bernal Heights,1756
Sanarica,1757
Serina,1758
North Inner City LEA-7,1759
Motta Camastra,1760
Clarence Valley ,1761
Blonay,1762
Westwood,1763
Barcarena,1764
Minervino Murge,1765
Hillcrest Village,1766
78722,1767
28803,1768
Vomero,1769
Melendugno,1770
Ward 73,1771
Harmonie,1772
East Los Angeles,1773
Valldemossa,1774
Manningham,1775
Ghajnsielem,1776
Willowbrook,1777
Oria,1778
Hume,1779
Meyrin,1780
Marratxí,1781
Petrosino,1782
ΠΕΤΡΑΛΩΝΑ,1783
New Plymouth City Ward,1784
Pennfield,1785
房山区,1786
Stella,1787
Portsmouth,1788
Arenella,1789
Sagene,1790
New Shoreham,1791
Gosford ,1792
Redwood City,1793
Nicosia,1794
Schloßstr.,1795
Azusa,1796
Kempsey ,1797
North St.James Town,1798
Bang Kho laen,1799
Rio de Mouro,1800
Vicaria,1801
Loretteville,1802
Mancor de la Vall,1803
Area Outside Ward,1804
Cotham,1805
Νισύρου (Nisyros),1806
Riley Park,1807
Boroondara,1808
Imperial,1809
Chatu Chak,1810
West Portland Park,1811
Greenwich Village,1812
Adalar,1813
Ferla,1814
Arlington Heights,1815
Mission Hill,1816
Witikon,1817
Bridgeton,1818
AFFORI,1819
San Pedro,1820
San Cassiano,1821
Mogale City,1822
Edgewater,1823
Weißensee,1824
ADRIANO,1825
Iztapalapa,1826
Coconut Creek,1827
Flores,1828
la Prosperitat,1829
Santeramo in Colle,1830
Andratx,1831
Saus,1832
North College Park,1833
Meander Valley ,1834
Marina,1835
Giudecca,1836
Borough Park,1837
Kingsview Village-The Westway,1838
Moabit Ost,1839
LA XEREA,1840
Barletta,1841
Dundas,1842
Rideau-Rockcliffe,1843
Recoletos,1844
Gramercy Park,1845
Wigan District,1846
Sutton,1847
Adachi Ku,1848
Galway City Central LEA-6,1849
Deurne Dorp - Gallifort,1850
Azcapotzalco,1851
Tanunda,1852
Ward 86,1853
Little Compton,1854
Richmond,1855
"Shaw, Logan Circle",1856
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",1857
Industry,1858
South Park Hill,1859
Stockbridge,1860
St. Roch,1861
Rios Rosas,1862
Fort Greene,1863
District 16,1864
Wharangi/Onslow-Western Ward,1865
Redland ,1866
Agoura Hills,1867
University City,1868
FREMANTLE,1869
Woluwe-Saint-Lambert,1870
San Ferdinando,1871
Lac-Saint-Charles,1872
la Trinitat Nova,1873
ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,1874
Koto Ku,1875
Rockaway Beach,1876
Broughton North and Powderhall,1877
Bass Coast ,1878
Καρπάθου (Karpathos),1879
Vargem Grande,1880
südliche Luisenstadt,1881
Ward 5,1882
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",1883
San Diego,1884
IV Tiburtina,1885
Barracas,1886
Grunewald,1887
Islands,1888
Pointe-Claire,1889
Bukit Batok,1890
Holly Park,1891
Esporles,1892
Casco Histórico de Vallecas,1893
Gratteri,1894
La Pintana,1895
Carini,1896
South Slope,1897
Waihopai Toetoe Ward,1898
Alezio,1899
Bjerke,1900
Praha 9,1901
Rinkeby-Tensta,1902
Mid-Beacon Hill,1903
Waitākere Ward,1904
GRECO,1905
Southern,1906
Castelvetrano,1907
District 27,1908
Caltagirone,1909
MACIACHINI - MAGGIOLINA,1910
Casa de Campo,1911
Sava,1912
Sarnico,1913
Deerfield Beach,1914
Barra de Guaratiba,1915
Excelsior,1916
Polwarth,1917
Marchmont West,1918
Waratah/Wynyard ,1919
Brnshj-Husum,1920
Clanton Park,1921
Makawao-Pukalani-Kula,1922
ΣΤΑΔΙΟ,1923
Verdun,1924
French Quarter,1925
78732,1926
Cuajimalpa de Morelos,1927
Ipswich ,1928
Milpitas,1929
Los Rosales,1930
Mazara del Vallo,1931
San Paolo di Civitate,1932
Eysins,1933
L'Escala,1934
Leporano,1935
Palmerston-Little Italy,1936
Hornsby ,1937
el Besòs i el Maresme,1938
"Jewel, Brunstane and Newcraighall",1939
Lower Garden District,1940
Skanste,1941
Boltiere,1942
Alki,1943
Old Town,1944
Howard Beach,1945
Longi,1946
Ashley,1947
Half Moon Bay,1948
Union Station,1949
Château-d'Oex,1950
Palmdale,1951
78759,1952
BOVISA,1953
Cisternino,1954
Nansouty - Saint Gens,1955
Elysian Park,1956
Arbúcies,1957
Mascalucia,1958
Olot,1959
Σερίφου (Seriphos),1960
Φολεγάνδρου (Folegandros),1961
內湖區,1962
Kerns,1963
Frankfurter Allee Nord,1964
Castaic,1965
Sligo-Drumcliff LEA-5,1966
Søndre Nordstrand,1967
la Maternitat i Sant Ramon,1968
Samphanthawong,1969
Erice,1970
Keelesdale-Eglinton West,1971
Oldham District,1972
Opañel,1973
Gaslamp Quarter,1974
La Paz,1975
Ajuda,1976
Arenal,1977
Ganshoren,1978
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",1979
District 11,1980
Northeast Park Hill,1981
Carson,1982
Itabashi Ku,1983
Αντιπάρου (Antiparos),1984
Alberobello,1985
Torrance,1986
Kaulsdorf,1987
NOU MOLES,1988
Letojanni,1989
Wellington,1990
Laterza,1991
Piovera,1992
Castêlo da Maia,1993
Quintana,1994
Pacific Grove,1995
LA ROQUETA,1996
The Beaches,1997
Areeiro,1998
Taquara,1999
Ventas,2000
Bunyola,2001
Echo Park,2002
Tripi,2003
Vestre Aker,2004
Hollygrove,2005
Roscommon LEA-6,2006
North Saanich,2007
Lismore ,2008
Moonee Valley,2009
Wanaka Ward,2010
Adams,2011
Santa Marina Salina,2012
Montavilla,2013
Woodhouse Park,2014
Bayswater ,2015
"Encarnación, Regina",2016
San Telmo,2017
Park Slope,2018
Don Mueang,2019
Llançà,2020
78719,2021
Saphan Sung,2022
South Cambie,2023
South Gippsland ,2024
Yarra Ranges ,2025
Nordre Aker,2026
Ancoats and Clayton,2027
BENICALAP,2028
Lat Phrao,2029
78717,2030
Hermosa Beach,2031
Westerleigh,2032
Hawkesbury ,2033
el Congrés i els Indians,2034
Manly ,2035
el Camp de l'Arpa del Clot,2036
Wakefield,2037
CAPEL,2038
West Highland,2039
TORTONA,2040
Avetrana,2041
Cork City North East LEA-6,2042
Basaksehir,2043
Vila Isabel,2044
Cully,2045
Ocean Beach,2046
North Admiral,2047
Kogarah ,2048
Break O'Day,2049
Watermael-Boitsfort,2050
Brugse Poort - Rooigem,2051
Nillumbik,2052
Bromma,2053
Motukairangi/Eastern Ward,2054
Downtown Brooklyn,2055
78728,2056
Woodlawn,2057
Penrith,2058
Mcdonogh,2059
Melissano,2060
Vila Militar,2061
Waimairi Ward,2062
Messina,2063
Whittlesea,2064
Brimbank,2065
Binnenstad,2066
Forest,2067
Central Coast,2068
Neu Lichtenberg,2069
Lauderdale By The Sea,2070
Ιεράπετρας,2071
South Leith,2072
Fontarrón,2073
Pra Wet,2074
Queenstown,2075
Upper Lachlan Shire ,2076
Juan de Fuca,2077
North Hollywood,2078
Saavedra,2079
Manfredonia,2080
Espinho,2081
Civic Center,2082
Préverenges,2083
Bronte,2084
Sant'Alessio Siculo,2085
DERGANO,2086
Lucca Sicula,2087
Motta Sant'Anastasia,2088
Resuttano,2089
San Andrés,2090
High Park-Swansea,2091
La Reina,2092
Lachine,2093
Rolle,2094
ΓΚΑΖΙ,2095
Casteldaccia,2096
Rexdale-Kipling,2097
Parramatta,2098
Sant Joan,2099
College Area,2100
Mount Washington,2101
Bedford Park-Nortown,2102
Vieux-Moulin,2103
"Trento, Trentino",2104
Ger,2105
Realmonte,2106
Boedo,2107
Bonnington,2108
Sa Pobla,2109
Green Meadows,2110
Khlong San,2111
Vittoria,2112
"Friendship Heights, American University Park, Tenleytown",2113
Campanhã,2114
Timón,2115
Belltown,2116
Carvoeira,2117
Campbell,2118
Strawberry Hill,2119
Lormont,2120
Letterkenny LEA-7,2121
King,2122
Ibiza,2123
Lutry,2124
El Monte,2125
South Park,2126
BOVISASCA,2127
Hastings-Sunrise,2128
Eilandje,2129
East Providence,2130
VecÄÄ·i,2131
Furci Siculo,2132
Paradise Hills,2133
Galatone,2134
Santa Catalina,2135
ΑΝΩ ΚΥΨΕΛΗ,2136
Oakland Park,2137
Gewerbeschule,2138
Selvino,2139
Taupō Ward,2140
Bang Khae,2141
Calatafimi-Segesta,2142
Praha 11,2143
Hillsdale,2144
North End,2145
CORSICA,2146
VI Roma delle Torri,2147
Cheesman Park,2148
Quartier 5-2,2149
BUNBURY,2150
Moscavide e Portela,2151
Bisceglie,2152
Cole,2153
ΕΛΛΗΝΟΡΩΣΩΝ,2154
San Miguel,2155
Joppa,2156
Guildwood,2157
Constitucion,2158
Villa Ortuzar,2159
Capaci,2160
Verges,2161
Inwood,2162
Circular Head,2163
EL PLA DEL REMEI,2164
Auburn ,2165
Liverpool ,2166
Corato,2167
Pom Prap Sattru Phai,2168
Maungatautari Ward,2169
Vista Alegre,2170
Ennistimon LEA-4,2171
Fremont,2172
University,2173
Vully-les-Lacs,2174
Schwabing-Freimann,2175
Neufchâtel-Est/Lebourgneuf,2176
Maracanã,2177
Grandview-Woodland,2178
East Garfield Park,2179
VecpilsÄta,2180
Northwest,2181
Lindenhof,2182
Östermalms,2183
Harrison/Denny-Blaine,2184
Torroella de Montgrí,2185
Dandaragan ,2186
East Morrisania,2187
ΝΙΡΒΑΝΑ,2188
Historic South-Central,2189
Gloucester-South Nepean,2190
Nueva Pompeya,2191
Tuglie,2192
Murrayfield and Ravelston,2193
Mosman ,2194
Beverlywood,2195
Ward 85,2196
Locorotondo,2197
Alvalade,2198
Moreland ,2199
Stationsbuurt Zuid,2200
Bergamo,2201
el Bon Pastor,2202
Fernwood,2203
A dos Cunhados e Maceira,2204
Ward D (councilmember Michael Yun),2205
Kew Gardens,2206
Irvington,2207
HARVEY,2208
WANNEROO,2209
Pilea – Chortiatis,2210
Scott,2211
Shellharbour ,2212
Fornalutx,2213
Rogers Park,2214
Valley Village,2215
Castellana,2216
Westminster-Branson,2217
VINCENT,2218
Kilkenny LEA-7,2219
Galatina,2220
Humboldt,2221
Port Phillip ,2222
"Congress Heights, Bellevue, Washington Highlands",2223
Estácio,2224
West Colfax,2225
Santa Maria di Licodia,2226
Genesee,2227
Albrechtstr.,2228
Jamestown,2229
Longwood,2230
Monash ,2231
San Pasqual,2232
MUNDARING,2233
Riverview,2234
Neviano,2235
Lower Ninth Ward,2236
Harrow,2237
78738,2238
Ward 94,2239
guas Livres,2240
Palmer-Gravires-Cavailles,2241
Yonge-Eglinton,2242
Sooke,2243
Blayney ,2244
Cité Universitaire,2245
Andria,2246
Bywater,2247
Adare-Rathkeale LEA-6,2248
Colac-Otway ,2249
Ost 1,2250
Ribes de Freser,2251
Lat Krabang,2252
Collepasso,2253
Lancy,2254
Valbroye,2255
Islington-City Centre West,2256
Camprodon,2257
Rochor,2258
Santa Clarita,2259
Vidigal,2260
Torroella de Fluvià,2261
Lennox,2262
Queenscliffe,2263
Villa Urquiza,2264
Shadow Hills,2265
EL GRAU,2266
Paranhos,2267
Great Lakes ,2268
Holroyd ,2269
Sant Mori,2270
City Heights West,2271
Costitx,2272
Fairview,2273
Schmargendorf,2274
MURRAY,2275
Wilton Manors,2276
Plantation,2277
Drylaw,2278
City of Capitola,2279
Bovino,2280
Trappeto,2281
The Port,2282
Gulpilhares e Valadares,2283
"Canongate, Southside and Dumbiedykes",2284
Teltower Damm,2285
Canillas,2286
Sant Pere Pescador,2287
Praia da Bandeira,2288
Lascari,2289
Neuhausen-Nymphenburg,2290
ΠΑΤΗΣΙΑ,2291
EL PERELLONET,2292
Del Aire,2293
Casey,2294
"Areias, Sequeiró, Lama e Palmeira",2295
Alt-Lichtenberg,2296
Parque Chas,2297
Bellas Vistas,2298
Cupertino,2299
Lane Cove,2300
Redondo Beach,2301
Amandus - Atheneum,2302
QUARTO CAGNINO,2303
Portobello,2304
Gaasperdam - Driemond,2305
Conamara South LEA-5,2306
ΑΚΡΟΠΟΛΗ,2307
Burwood,2308
Weston-Pellam Park,2309
Son Servera,2310
Selwyn Central Ward,2311
Randall Manor,2312
Coastal Ward,2313
Lenna,2314
Northeast Antelope Valley,2315
Ullastret,2316
Santa Teresa di Riva,2317
Saint-Roch,2318
Emerald Hills,2319
Dania Beach,2320
El Plantinar,2321
Brunyola,2322
Murano,2323
Grajaú,2324
South Stonehurst,2325
Saint-Émile,2326
Rivière-des-Prairies-Pointe-aux-Trembles,2327
Marghera Zona Industriale,2328
Piazza Armerina,2329
Stockwood,2330
Acacias,2331
Castellaneta,2332
Fairmount Park,2333
Windsor Terrace,2334
Plaisance-Loret-Maregue,2335
Rovetta,2336
Libuš,2337
Hard,2338
Gazzera,2339
Bayview Village,2340
Stationsbuurt Noord,2341
Liverpool,2342
BANDE NERE,2343
Kwun Tong,2344
Jette,2345
Bossico,2346
Vermont Square,2347
Erchie,2348
Molló,2349
Canicattini Bagni,2350
Mafra,2351
Palazzago,2352
Buckman,2353
Central Saanich,2354
Jackson Heights,2355
Weinegg,2356
Rideau-Goulbourn,2357
Castillejos,2358
Alp,2359
Port Morris,2360
Zeytinburnu,2361
Mierendorffplatz,2362
LA PETXINA,2363
Liesing,2364
Vilapicina i la Torre Llobeta,2365
District 3,2366
Οροπεδίου Λασιθίου,2367
"Bingham, Magdalene and The Christians",2368
Boise,2369
Saint-Mdard-en-Jalles,2370
Albisrieden,2371
Glamorgan/Spring Bay,2372
North Kohala,2373
Kawhia-Tihiroa Ward,2374
Alhambra,2375
Jardim Guanabara,2376
Cranston,2377
BARONA,2378
Foster City,2379
Gryon,2380
石景山区,2381
Willowridge-Martingrove-Richview,2382
Hobart ,2383
Innes,2384
Reservoir Hill-Meadow Brook,2385
District 13,2386
Bundaberg ,2387
Canterbury,2388
Bitter Lake,2389
Taurisano,2390
Arapiles,2391
奉贤区 / Fengxian District,2392
Bishopsworth,2393
Algiers Point,2394
Avonmouth & Lawrence Weston,2395
Bijlmer-Oost,2396
Cambridgeport,2397
Alaró,2398
Clementi,2399
Whalley Range,2400
West of Twin Peaks,2401
Vincent ,2402
Rancho Park,2403
"Kalorama Heights, Adams Morgan, Lanier Heights",2404
San Giovanni a Teduccio,2405
Almenara,2406
78747,2407
Hottingen,2408
Villaggio San Marco,2409
Carmel Valley,2410
Roseville,2411
"Takoma, Brightwood, Manor Park",2412
Kokubunji Shi,2413
Capo d'Orlando,2414
South Gyle,2415
Columbia St,2416
Chacarita,2417
Chorlton,2418
Nordstrand,2419
Centre ville (Merignac),2420
Cambridge Ward,2421
Nord 1,2422
Comely Bank,2423
Capital,2424
Feria,2425
North Beach/Blue Ridge,2426
Alderwood,2427
Cavallino,2428
Eastmont,2429
VICTORIA PARK,2430
Hikurangi-Coastal Ward,2431
Ruffano,2432
WASHINGTON,2433
Orange ,2434
Laurelton,2435
Speer,2436
Nicolosi,2437
Safi,2438
St.  Anthony,2439
Los Gatos,2440
Lovere,2441
Bristol,2442
Sarrià,2443
Argüelles,2444
DE ANGELI - MONTE ROSA,2445
Glencullen-Sandyford LEA-7,2446
Olaria,2447
Lower Eyre Peninsula ,2448
District 20,2449
NA ROVELLA,2450
Wyndham,2451
New Town East and Gayfield,2452
Le Monteil,2453
Teika,2454
Alcabideche,2455
North Riverdale,2456
Zollino,2457
Miles Platting and Newton Heath,2458
France Alouette,2459
Ballina ,2460
Κύθνου (Kythnos),2461
Canarsie,2462
LA RAIOSA,2463
Lents,2464
Thon buri,2465
Elmhurst,2466
Engenho de Dentro,2467
Cardinia,2468
Milazzo,2469
Highlands,2470
San Bruno,2471
San Dimas,2472
Aiguaviva,2473
Chardonne,2474
West 1,2475
Morciano di Leuca,2476
Blankenfelde/Niederschönhausen,2477
Moyne,2478
Regierungsviertel,2479
Markland Wood,2480
West Point Grey,2481
LODI - CORVETTO,2482
Leith (Albert Street),2483
Saint-Sacrement,2484
Coral Springs,2485
Katsushika Ku,2486
West Los Angeles,2487
"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",2488
ELS ORRIOLS,2489
Las Avenidas,2490
Dunlap,2491
Gaztambide,2492
Palazzolo Acreide,2493
Treviolo,2494
Alfalfa,2495
el Guinardó,2496
Archer Heights,2497
Ziepniekkalns,2498
Lansing-Westgate,2499
Old East York,2500
Valdefuentes,2501
Praha 19,2502
78729,2503
Bitonto,2504
28732,2505
Venteira,2506
Corsano,2507
Princess-Rosethorn,2508
West Riverside,2509
FORZE ARMATE,2510
Port Stephens ,2511
Bright,2512
Western Harbour and Leith Docks,2513
Aldeia Galega da Merceana e Aldeia Gavinha,2514
Sluizeken - Tolhuis - Ham,2515
Fontanilles,2516
West Covina,2517
Pierce,2518
Ashfield ,2519
Stirling ,2520
Sembawang,2521
Globeville,2522
Abbeyhill,2523
Chiyoda Ku,2524
Sham Shui Po,2525
Artesia,2526
Newcastle ,2527
Aviatico,2528
Villa Del Parque,2529
Westlake,2530
Cutrofiano,2531
District 35,2532
Stockport District,2533
Monte Sant'Angelo,2534
Ariany,2535
South-West Ward,2536
Sha Tin,2537
Bay Park,2538
el Carmel,2539
Lagoa,2540
Cidade da Maia,2541
Sant'Agata li Battiati,2542
Maribyrnong ,2543
Albany Park,2544
Memorial,2545
Vilafranc de Bonany,2546
Harpurhey,2547
Triana Oeste,2548
Allerton,2549
Glocester,2550
Cruz De Humilladero,2551
Mackay ,2552
Parkland,2553
Greystones LEA-6,2554
CANNING,2555
Saint-Sulpice (Vaud),2556
Danforth East York,2557
Birgu,2558
Leith (Hermitage and Prospect Bank),2559
BENIMACLET,2560
Moreton Bay ,2561
Canonmills and New Town North,2562
Kantstraße,2563
"Craigleith, Orchard Brae and Crewe Toll",2564
Forest Hill North,2565
Fairmilehead,2566
New Town West,2567
Mungai,2568
Notre-Dame-des-Laurentides,2569
Cambria Heights,2570
Baw Baw ,2571
Ward C (councilmember Richard Boggiano),2572
Cachambi,2573
Unincorporated Santa Susana Mountains,2574
Cabbagetown-South St.James Town,2575
Mosswood,2576
Hopkinton,2577
Caltabellotta,2578
Pico-Robertson,2579
Artane-Whitehall LEA-6,2580
North Beacon Hill,2581
Valdemarín,2582
Lumiar,2583
Franklinton,2584
Los Angeles,2585
Orio al Serio,2586
NEDLANDS,2587
Renens (Vaud),2588
Pilar,2589
Williamsbridge,2590
Brolo,2591
Avintes,2592
